Iso3_code,Country,Region,Subregion,Indicator,Year,VALUE
AFG,Afghanistan,Asia,Southern Asia,Offences of trafficking in persons,2013,103
AFG,Afghanistan,Asia,Southern Asia,Persons brought into formal contact,2013,167
AGO,Angola,Africa,Sub-Saharan Africa,Detected trafficking victims,2009,15
AGO,Angola,Africa,Sub-Saharan Africa,Detected trafficking victims,2010,7
AGO,Angola,Africa,Sub-Saharan Africa,Offences of trafficking in persons,2014,34
AGO,Angola,Africa,Sub-Saharan Africa,Persons prosecuted,2014,5
AGO,Angola,Africa,Sub-Saharan Africa,Detected trafficking victims,2017,27
AGO,Angola,Africa,Sub-Saharan Africa,Offences of trafficking in persons,2017,6
AGO,Angola,Africa,Sub-Saharan Africa,Persons brought into formal contact,2017,21
AGO,Angola,Africa,Sub-Saharan Africa,Persons convicted,2017,6
AGO,Angola,Africa,Sub-Saharan Africa,Persons prosecuted,2017,21
AGO,Angola,Africa,Sub-Saharan Africa,Detected trafficking victims,2018,5
AGO,Angola,Africa,Sub-Saharan Africa,Offences of trafficking in persons,2018,28
AGO,Angola,Africa,Sub-Saharan Africa,Persons brought into formal contact,2018,2
AGO,Angola,Africa,Sub-Saharan Africa,Persons convicted,2018,2
AGO,Angola,Africa,Sub-Saharan Africa,Persons prosecuted,2018,2
AGO,Angola,Africa,Sub-Saharan Africa,Detected trafficking victims,2019,10
AGO,Angola,Africa,Sub-Saharan Africa,Offences of trafficking in persons,2019,28
AGO,Angola,Africa,Sub-Saharan Africa,Persons brought into formal contact,2019,8
AGO,Angola,Africa,Sub-Saharan Africa,Persons convicted,2019,8
AGO,Angola,Africa,Sub-Saharan Africa,Persons prosecuted,2019,8
AGO,Angola,Africa,Sub-Saharan Africa,Detected trafficking victims,2020,8
AGO,Angola,Africa,Sub-Saharan Africa,Offences of trafficking in persons,2020,23
AGO,Angola,Africa,Sub-Saharan Africa,Persons brought into formal contact,2020,2
AGO,Angola,Africa,Sub-Saharan Africa,Persons convicted,2020,2
AGO,Angola,Africa,Sub-Saharan Africa,Persons prosecuted,2020,2
ALB,Albania,Europe,Southern Europe,Persons convicted,2003,40
ALB,Albania,Europe,Southern Europe,Persons convicted,2004,44
ALB,Albania,Europe,Southern Europe,Persons convicted,2005,49
ALB,Albania,Europe,Southern Europe,Persons convicted,2006,56
ALB,Albania,Europe,Southern Europe,Persons convicted,2007,9
ALB,Albania,Europe,Southern Europe,Persons prosecuted,2007,25
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,2008,108
ALB,Albania,Europe,Southern Europe,Persons convicted,2008,16
ALB,Albania,Europe,Southern Europe,Persons prosecuted,2008,14
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,2009,94
ALB,Albania,Europe,Southern Europe,Persons convicted,2009,7
ALB,Albania,Europe,Southern Europe,Persons prosecuted,2009,20
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,2010,97
ALB,Albania,Europe,Southern Europe,Offences of trafficking in persons,2010,37
ALB,Albania,Europe,Southern Europe,Persons brought into formal contact,2010,51
ALB,Albania,Europe,Southern Europe,Persons convicted,2010,17
ALB,Albania,Europe,Southern Europe,Persons prosecuted,2010,39
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,2011,84
ALB,Albania,Europe,Southern Europe,Offences of trafficking in persons,2011,23
ALB,Albania,Europe,Southern Europe,Persons brought into formal contact,2011,51
ALB,Albania,Europe,Southern Europe,Persons convicted,2011,15
ALB,Albania,Europe,Southern Europe,Persons prosecuted,2011,28
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,2012,92
